ward,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90
E92000001,3072243,3401724,3581732,3509155,3526018,3885571,4101144,4073458,3855280,3479767,3728798,3861340,3562779,2951642,2568308,2433995,1543135,951369,532643
W92000004,148408,173144,187223,187628,188090,192467,204686,205562,192293,173658,202335,222359,216224,185551,166988,154680,97692,56627,30966
S92000003,246239,281750,306763,306172,348511,355043,367466,366014,353355,322013,363945,402770,387983,333744,277678,241574,150335,88569,46976
N92000002,107266,122239,129134,123630,103636,115889,123331,130736,128194,117946,125015,130254,121391,101720,83780,71602,49228,28213,14651
