ward,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90
E92000001,3067382,3340505,3496358,3298659,3435925,3719711,3991299,3859912,3685992,3479246,3866701,3853765,3381076,2825807,2657736,2283780,1437673,904542,520329
W92000004,152519,174409,186628,177708,184964,187669,199578,192117,181871,176614,213390,224095,206338,180033,173220,144499,90861,54621,30506
S92000003,255437,293727,304566,283630,331978,370718,383333,359974,332551,338298,389791,401410,360626,305424,290154,204299,142675,85988,45321
N92000002,120369,128546,124127,112397,115359,122325,126761,124583,116254,125780,131984,124654,105804,89873,81399,61874,42839,25005,13734
